,comment
65,Why is my saturna not showing price on trust wallets and it seams to be a lot less tokens than what it should be anyone know anything on this ??
66,💎🚀💪
67,this token doin better than bonfire lmaooo
68,I bought for 35$ and they sent me 0.385 how is that possible??
69,team Saturn
70,#saturna
71,amazing gain  lets go #saturna
72,"Everyone that’s here are deep diving shit/meme coins including myself , this is where serious money can be made ! Good luck to all you degens"
73,If you see this you are so early get in quickly!!!
74,Loaded up on this 😍
75,Just bought 2 trillion tokens for 300 bux
76,As soon as you get it that much money you make ahahahah. Gogo SATURNA
77,This has been absolutely wild. To Saturn!!!🚀
78,ive already 10x lmfao this is the next safemoon/bonfire but better.
79,Why can’t see my Saturna balance in trust wallet
80,Mine doesn’t show the price on trust wallet. All it says is wrapped BNB. Anyone else having this problem?
81,$Saturna 🪐🚀
82,0.01???? How soon??
83,Can't wait to see how high this goes
84,"Can someone help, I should have millions in my trust wallet account but it says I have 0.6 coins??"
85,Check out bonfire token 🚀🚀🚀
86,TO THE MOON🚀🚀
87,Just got some
88,"New in, let's go 😂"
89,600% already two days in
90,"I am 8x already and it’s fucking blowing up
This is the next safemoon/bonfire 🚀🚀🚀"
91,Just picked up 24b
92,I'm new to looking at these smaller coins and was skeptical at first but it seems not to be a complete scam. It may be a massive pump and dump but I'm willing to risk some money
93,Saturna to the moon 🌝
94,Saturna token 🚀🚀🚀
95,yeah bois
96,"Love that I got in early to Saturna! Great website, great community, rug proof, hitting new levels all the time. Just going from ATH to ATH."
97,Just subscribed I bought most of the stuff in your last few videos. You look like the guy to follow
98,Happycoin might not be the youngest coin on the market but its the most wholesome one I own. We have a lot of stuff coming up and it's all for a good cause too! 😁😁🚀🚀
99,Or just.. don't worry and buy $HAPPY 😊
100,🙂🙂🙂$HAPPY🙂🙂🙂
101,"I enjoyed your video, i am actually tired of worrying about stock and stuff.... It's driving me nuts these days I think crypto investment is far better than stocks"
102,BRICKCHAIN check this bsc gem out!
103,BRICKCHAIN check this bsc gem out!
104,$SAT 🚀🚀🚀🚀
105,Someone just sold 110k worth it it’s dropped hard
106,Buying now 😂
107,just bought 8bil of them
108,Go check GMR FINANCE 🚀
109,Let #BONFIRE light the way‼️‼️🚀🚀🔥🔥🚀🚀🔥🔥🚀🚀 #Bonfiretoken🔥🔥🔥
110,"I give no fucks if this is a pump and dump, I’m in EARLY and I’m gonna 100x my money 😂😂😂"
111,Share this video everywhere guys.
112,1 cent really?? -__- look at the supply...
113,This is literally picking up so fast
114,Holy shit I was waiting for a youtuber to pickup on this gem
115,Picking up immediately
116,"There's no doubt in my mind that we are not only going bull, but BTCis going nuclear. A lot of people are wondering if now is a good time to buy because of where the price is at right now. I'd say it's outrightly wrong to just sit back hodl and wait maybe incur some losses along the line, that's a wrong mindset for an investor because as an investor finding ways to always increase and stack up more coins thereby making prof!ts should be the way of lifeThat being said, the market is still all about BTC at the moment and I’ll advise current investors and newbies to take advantage of Brian Clarke Gates of Astrofxc Traders, a pro trader who runs a training program for investors/newbies who lack understanding on how trading Bitcoin works, to help them recover loss from the crash and also accumulate more bitcoin, with his program i went from having 1.3btc to 5btc in just 9 weeks. You can reach him on reach him on telegrm @BrianGatesfx , let’s make the best of whatever we can"
117,LET'S GOOOOO SATURNA CHAN! 😆😍💎
118,"Thanks for the video bro! Looking into this, will be a nice addition to my #safemoon and #GMR :)"
119,First lol
120,🪐🪐
121,"This coin made me 1 year worth of my paycheck... its still very early only 5 days since launch,  their marketing is on point they know what they are doing behind the scene....."
122,$SAT saturna gonna explodes soon... Get in while you can 👀
123,"When I try and connect my Trust Wallet to Pancake Swap it says provider not found. Can someone help me understand what I’m doing wrong please. 

TIA"
124,When will the price update in Trust wallet
125,SATURNA 💎🚀💪🪐
126,Dude u gotta get that Like thing out of here its so annoying
127,$Saturna 🪐🚀
128,$SAT
129,Bonfire (B)ON FIRE🔥🔥🔥
130,It's not a scam. I put in .2 last night and now it's .6
131,"I swapped my smart chain to Saturna but i recieved a wrong amount of Saturna coins. I should have recieved 6831000000 coins but i recieved 6,8315. Someone familiar with this?"
132,This is a SCAM. There is no price.
133,where 's the price?
134,"BscScan ➡️ https://bit.ly/3y2Hxbd​
Enable D-Apps Browser ➡️https://bit.ly/3nnEuW6​

Click Here For More Cryptocurrency Tutorials! ▶https://bit.ly/3tIt6Xb"
135,lets get to all 82 moons!
136,couldnt we just buy BNB directly from Trust wallet? thanks for the video tho!
137,This token is nice and cheap right now
138,I just bought $446 of saturna and it went through but my balance is now $446 less than it was before it went through.
139,Saturna!!!
140,Up 800% in 2 days not bad. 🚀🚀🚀🚀🌝
141,"*edit, I didn't click on the smart chain in the trust wallet**         When switched to bep20 it say ""the address doesn't match the currently selected primary network"""
142,I swap about 200 buck worth of bnb but its showing i only have 1.1 Saturna? did i do something wrong>?
143,Can you use ethereum to buy instead of BNB?
144,"I posted the saturna contract address into pancake swap but it's not showing up. Can anyone help? So frustrating trying to buy saturna, shib, kishu and keep running into roadblocks."
145,"I appreciate you showing people how to go through the process of buying these up and coming cryptos. 

I see a ton of crypto YouTubers doing 10-15 videos on shibe, kishu, akita, etc. and not a single one of those videos actually teaches you how to buy any of them. If you're a newbie like me, it's a very confusing process. 

Lots of websites and wallets to sign up for and get verified on, many of which take their sweet time doing, network fees in the hundreds of dollars that present problems with investing (Having this problem with uniswap and shib. $371 network fee??) etc. 

I've already missed out on gains for plays that I would have done but couldn't because Binance is taking forever to verify, and buying BNB on Trust Wallet is agonizingly slow. Coinbase has a 1-week waiting time before I can send the ETH on there anywhere else. If you're a newbie like me, make sure to take care of all these hoops as soon as you can."
146,To late to get in on the train you think ?
147,amazing project!! 🚀🚀🚀
148,"Binance takes forever for identity authentication. Any other suggestions on how to purchase BNB smart chain to then convert to SAT on pancake swap? I have a Coinbase account, but cannot find BNB Smart Chain listed anywhere. Apologies for the noob-y question. How I'm understanding it is below, and I'm stuck at the second step

Exchange (Binance) -> Smart Chain BNB into wallet (metamask/trust wallet) -> swap smart chain BNB to SAT on pancake Swap"
149,this is going to be massive.
150,How can i see thow many dollars i have i cant see it on trust wallet?
151,best purchase made
152,💎💪
153,I love this project 🔥🔥
154,I purchased from pancake but i dont see the volume of shares on trust wallet.  Its showing 0.34XXXXXX instead of 340 million shares i see on pancake.
155,For some reason when i purchased saturna it doesnt show up on my trust wallet like how all my other crypto show up. Doesnt show me how money i have and the ammount of shares shows different than others. It shows like this. 0.432882. Mean while i did purchase about 400+million shares. Kinda odd to me. Also the charts are unavailable.
156,massive gain potential!
157,"There's no doubt in my mind that we are not only going bull, but BTCis going nuclear. A lot of people are wondering if now is a good time to buy because of where the price is at right now. I'd say it's outrightly wrong to just sit back hodl and wait maybe incur some losses along the line, that's a wrong mindset for an investor because as an investor finding ways to always increase and stack up more coins thereby making prof!ts should be the way of lifeThat being said, the market is still all about BTC at the moment and I’ll advise current investors and newbies to take advantage of Brian Clarke Gates of Astrofxc Traders, a pro trader who runs a training program for investors/newbies who lack understanding on how trading Bitcoin works, to help them recover loss from the crash and also accumulate more bitcoin, with his program i went from having 1.3btc to 5btc in just 9 weeks. You can reach him on reach him on telegrm @BrianGatesfx , let’s make the best of whatever we can"
158,To the moon🚀🚀🚀
159,"Best token, happy I got in early"
160,I love this project 🔥🔥
161,hahaha RIDICULOUS.... CHANGE THE PONE PLEAS.E.. OMG...
162,Change the name of this video or take it down. Very misleading.
163,"It seems you have found your answer, maybe take the video down for reasons, that people may just take the headline of your video and run with it. Unfortunately that's the world we live in now. But for the good and the sake of all Saturna Holders, I speak for all of us right now, please take this video down."
164,I’ve nothing but stellar experiences with Saturna. Been with them since day 1 and I’ll be hodling long term. 🚀🪐
165,Binance can suspend bsc transfers!! If you try swapping on pancake swap then you’ll be charged fees and retuned your initial investment (minus fees)
166,"I think you talk none sense! 

You’ve got a feeling.. I bought in a few days ago and it’s returned well. 

Learn how to use pancake swap you fool!!"
167,you might want to take this video down lol i havent lost a cent
168,Im up 5 figures in a weekend wtf you on bro? Hahahahaha
169,You didn't change the decimal to 9 like you were supposed to when you added saturna as a custom token. Stop spreading bullshit news when its operator error.
170,Come on guys explain my last comment need to know what's happening with this and if its fees then that's a joke to get 0.6 of a token out of 600million what kind of bull is that
171,"This is the highest level of misinformation I've ever seen... $SAT isn't the scammer here, you are and shame on you...🙄"
172,"So took a chance and bought £70 worth it says on bscscan that I'd get 686.248.864.723250844 tokens 
And in my trust wallet I only have 
0.686269 sat what the fuck is that all about"
173,"Lmao you are totally not informed about this project, stop spreading misleading FUD"
174,The fuck is this? I already made 30x with saturna. It's not a scam.
175,"made 4k profit, you can do the same ;)"
176,Guys you are rite I am a noob so could be wrong i did state he could have been hacked etc thats why I said to comment on your experience with it so I could get an idea of what's going on I only stated (I think) so any input would be helpful and its come to light that he did get hacked
177,"Same here, made like 10x profit. Website looks legit too. Dosent seem like a scam to me..."
178,You have no idea what you are talking about.  Sorry your friend is an idiot and gave out his wallet information.
179,"I am just happy with saturna, i’ve got more than x4 profit since token release . <4 days"
180,This guy is so dumb 🤣 user error completely
181,"Sorry to hear about your mate being done dirty like that, but $SAT has already been audited and passed with flying colours with a second audit on the way. Not a scam, the only this this is doing is spreading misinformation sadly."
182,NOOB SATURNA WILL HIT THE SKY
183,Clearly you haven't a clue what you're doing. There's 30k extremely happy investors that haven't been hacked.
184,low iq video.
185,Bunkum!!!
186,Do proper research
187,worst video ever
188,Not true at all mate.
189,Isn’t it just the fees
190,Did you purchase the coin
191,crazy growth
192,We goin up
193,Why is my saturna not showing price on trust wallets and it seams to be a lot less tokens than what it should be anyone know anything on this ??
194,I love this project 🔥🔥
195,saturna is printing jeezzz.
196,$Saturna 🪐🚀
197,Can't wait to see where $SAT will climb too
198,Has anyone seen the Saturna team? I cant find much about their team. Website is nice but it's so many scams so I'm real skeptical
199,Saturna to the moon 🌙
200,just copped!!!! to the moon
201,We're going crazy! I'm 3x in just a day and it's still early!
202,No bonfire ?
203,"The concept of buying the dip is all about buying digital assets when their prices are down and selling off when the price rises just has the current market is down. Holding is profitable, although trading is far more profitable. I was to grasp the knowledge of trading crypto assets early enough, but i was still limited due to my lack of technical understanding of how to analyse the digital market , all that changed when i encountered Daniel Wright services. , although i have been into numerous services but Daniel Wright stands out with experience and expertise playing in his favour . I must confess it wasn't an easy task to learning the routes on trading but with the assistance of Daniel it was more easier to understand , Here are his details on Tel- gram ( @Danielwrightfx"
204,How do i get it to show up in my trust wallet after i purchase it?
205,"Hmm it is dumping a bit rn, but it’s still pretty new. I have around 15 billion so not much, holding and seeing how it goes."
206,"I’ll be honest. That website looks legit & the token has mooned since this video. Sheesh. I bought some, might as well"
207,Will be huge 🚀🚀🚀
208,11k mcap in 5 hrs!
209,When did this launch?
210,The website design is so intriguing!
211,Wow... why did I not get my notifications space man was back. I'm allllll in
212,3x right now for me
213,"I was trolling bsc and saw activity, got in at 28, 121 users, only put in 500£ 😂😂😂"
214,Avoid this bullshit I lost 87% in gas fees. Hope it dumps and dies soon.
215,satuuurrnnaaaa
216,"Safemoon, Saturna and Bonfire! 🚀🔥🚀🔥"
217,"There is a famous persona, who can be googled as 'Walter Bulls trading'. He made a fortune for himself a couple of years ago. Not long ago, such services have appeared that allow copying the results of experts. This guy demonstrates how to copy him in automatic mode using such services. We gotta try while the market is on the rise."
218,"Still early guys!!!! Don't miss this opportunity and just remember to hold like your Lambo depends on it, because it does"
219,🚀🚀 TESLAFAN is the future crypto that will pump !!!! X100 upcoming 🚀🚀
220,"Not trying to sound like a weirdo, but beautiful voice you have. Thanks for info. Hope everyone hops on this gem."
221,THE BEST COIN CURRENTLY RISING TO THE TOP AND MOON! 🚀🚀 BUY FOR EASY 10x
222,This coin is gaining a ton of traction and seems super promising with a lot of big events and milestones coming up the ride hasnt even started. DYOR as usual but this looks like a moonshot to me
223,boss mode
224,JOIN THE DISCORD! The community is strong!
225,Thank you for another great vid!
226,How long does it take to upload your video?
227,Loving these videos!
228,Saturna SHIT IS SEROUS!! stay safe everyone
229,SAT to the moon!
230,Love from Poland
231,Thanks for the Saturna video!
232,Finally Saturna video
233,I want SAT!
234,Lets see what happens in the next few days
235,Yay
236,Saturna!!
237,"Love you dubbiest brother! Stay safe, stay the strongest hand in the room."
238,It's great Saturna
239,Champion !!!!
240,hodl SAT
241,"Let's go! Crypto time is soon. Thanks for your videos, we appreciate it !"
242,Keep up the great work. I Love your analysis.
243,thanks for your videos and your hard work :)
244,Thanks in advance
245,Thanks for the Saturna!!
246,First Saturna video i watch from you and i subscribed!
247,Great content!
248,SAT to the moon
249,Thanks for the value you provide every day!
250,BTC! ALL DAY! Videos are great!
251,SAT please go to moon
252,Wooo!
253,I can see the Moon SAT!
254,Crypto is the future!
255,Thanks for all the work that you put into your videos. The insight is always appreciated
256,Saturna update
257,Awesome content
258,Point of no return!
259,video was great!
260,Awesome Saturna video ! :D
261,SAT and Bitcoin best Cryptocurrency of 2021 !
262,great video thanks for the info
263,Do you know of any good bitcoin expert? I will like to invest
264,Love that SAT :)
265,You rock
266,Very nice Saturna
267,Just give me the damn SAT
268,One of the best YouTube Crypto channel!!!!
269,Great Saturna news
270,SAT is a beast
271,SAT to the moon
272,Need a SAT
273,"ohhh yeah, I'm ready for the moon shot."
274,Thank you for the quick updates.
275,secure your holdings
276,Thanks for the info. I liked your hart impression!!
277,I have been watching you for 2 years of that and watch every vid
278,oooooooooooooooooooooooooo
279,Awesome Saturna video :D
280,bull or bear
281,Thanks for keeping up with these videos all the time!
282,I totally love the video!!!!
283,Who the hell do you think you are.
284,You Rock ...Great Saturna Video
285,ahah that Saturna video was gold
286,Great analysis as always
287,Love these videos)
288,Thanks for great data on chart. Keep up the good work
289,Tactical comment :D
290,come on goooooooooo Saturna
291,"Love your channel, it has a bit of everything, seriousness,"
292,Solid content as always
293,Great channel thank you!
294,I watch your vids literally every single day!
295,Crypto currency isn't bad at all but I just don't vibe with it.
296,Good job
297,Thanks for the update
298,"Great Content, Congrats"
299,Thx fo that update
300,SAT to the moon
301,What is the best hardware wallet?
302,Hodling is a contact sport.
303,Tanks for the knowledge
304,What is this Bitcoin and SAT can someone explain me ?
305,SAT is a nice decision.
306,Should we be bearish?
307,HODL bitcoin till Sept 2021
308,finally..it has to happen
309,don't know if ATH at end of year but it will be higher'
310,Good Saturna video. Thanks for it
311,Great content as always!
312,Yes I needed that vid
313,BTC is the coin of evil
314,Fire
315,buy buy buy the SAT
316,I love your videos and I think your energy rubs off on me and makes me exited to the future
317,Only recently found your channel and I like it.  Subbed
318,"great material as always. I accumulate a little every day, let the whales sell."
319,Great content .. Lets moon SAT!!!
320,it is highly probable Bitcoin will hit all time high by the end of this year.
321,Your optimism backed by great is always appreciated.
322,Thanks for Saturna see you next time
323,Great content!!!
324,pumpage
325,Always on point with your analysis.
326,HODL SAT
327,Great video
328,thank you dude
329,In SAT we believe
330,thnx 4 video
331,Very informative! Thanks.
332,Yeeeeeeeeeeeet
333,"Thank you kind sir, Saturna was interesting:)"
334,Anyone else put into SAT after he recommended it?
335,Can't believe People can talk so much ...
336,SAT please go to moon!
337,"5 views, 19 Likes -  wow"
338,Thank you for advising
339,hope all is well
340,SAT to the moon!!!
341,are you human?
342,SAT to the Pluto...
343,Thanks for the video! Healthy correction!
344,Awesome content bro
345,Cheers
346,Let's get the rocket off with SAT!!
347,"Your videos are always good, sometimes great!"
348,Buy the SAT!
349,"NIce Saturna video!, Cool analysis!"
350,ass clown.
351,Thank you for the vid
352,let the doors open for bullas
353,putin looks like stonks guy meme
354,another cool video
355,SAT to the moon
356,You ROCK
357,Great content
358,ETH &amp; SAT is going to the Moon
359,"always rock, no matter how late mate :D"
360,Good luck with channel
361,SAT is risky:)
362,wtb: $10k btc
363,You the man
364,Buy the fkn dip
365,SAT mooon
366,#Saturna
367,Like always TOP!
368,I really like your content thank you!
369,Thanks for your hard work!!
370,Thanks for the videos
371,Great job bro !
372,"Good video! Very attractive from the start to the finish. However, the wisest thing that should be on very smart individual list is to invest in different streams of income that are not dependent of government to generate money,especially now business and investment is the easiest way to make money regardless of what party makes it to the Oval Office."
373,So much potential
374,Never seen such good energy before
375,Awesome!  Lets ROLL!
376,"Hi from Sweden, love your vids alot of nice content, keep it up."
377,u one of the best out here with real facts that u back up! Keep up the good analysis
378,Thanks for your insights and hardwork! SAT moooon!
379,Saturna will be very interesting
380,"Buy SAT, buy SAT, buy SAT, and hodl SAT......"
381,Great Vid always informative
382,Go Go go SAT go.
383,"You are the best in the crypto field, good analysis go head"
384,I love all your videos dude..
385,"SAT is the future, Investing in it now will be the wisest thing to do"
386,thank you so much for your videos every day love your vibe blessings
387,I am Long time holder but I have no money for buy the
388,82 moons 82 milestones
389,love your videos!
390,What color of lambo do you choose after bull run?
391,Great video
392,Thanks for your content
393,Community is soooo strong this is crazy!!!
394,SATURNA TOKEN HAS THE BEST COMMUNITY EVER AND ITS GROWTH RATE AND STABILITY IS TRUELY RECORD BREAKING!!! DON'T sleep on this token. You will miss out on your ride to the top. Great video!!! Thanks for posting! 💎 ✊💫
395,This is insane breaking records to records!!!
396,$Saturna is a 3day-old coin and its mooning everyday! This is the real Gem! 🚀🚀🚀
397,"80+ mil marketcap and 19K holders in 3 days, it is truly insane. Will probably hit 25K holders by tomorrow. DYOR!"
398,This will be bonfire 2.0!
399,Saturna to the moon 🚀
400,Buy the wows
401,You bought SAT?
402,In POLAND BITCOIN reaches ATH in POLISH ZŁOTY
403,Best video for sure!
404,Its hodl season lol
405,Bullish
406,great Saturna video!!!!!!!
407,Another great video
408,need it. The market needs. Its healthy. Its expected :)
409,SAT we are goin to the moon
410,"Dude, loved the videos"
411,Watching bull fighting from the stands is like shorting
412,Tonight it will happen.
413,Your videos rock.
414,Saturna is the future
415,great video as always
416,I have always wanted to go to the moon!! ty for the SAT
417,Thanks brother
418,Very cool video
419,SAT coming soon will moon it
420,Awsome content bro
421,Get that SAT!
422,Cheers bro
423,Thanks Saturna
424,Awesome Saturna video!
425,Thanks for the awesome work on the crypto space.  You are the the OG for it. Btw when SAT moon? :)
426,need to go to the moon so i can buy my camper trailer.
427,Keep informing us dude cool content!keep it up
428,Man I hope 2021 is epic to make up for the terrible 2020 we had in the world. Leave it to BTC & SAT and crypto to help! Moon time baby.
429,Great Saturna video. Thanks.
430,Crypto is the best thing in my life. Besides my girlfriend and weed
431,I know what to do!
432,Great stuff as usual :)
433,great Saturna video
434,thanks for making cool videos!! Here for the Nano Ledger S
435,I WAS WONDERING HOW DO I KNOW WHEN ALT
436,Thanks for making these videos. Love them.
437,In Bitcoin we trust
438,Bitcoin
439,wow .    that was a very uplifting video .
440,"Love the videos , great channel for everything crypto . Watch everyday, well nearly every day. Keep up the great work"
441,LETS GOOOOO Saturna!!!
442,Saturna getting interesting!!
443,Love the show man deff one of the best on YouTube!!!
444,Thank you for this vid
445,I dont understand how people are still getting scammed smh
446,just keeps walking through Crypto!
447,accurate and very well analysed and well explained with
448,Buy SAT and HODL!
449,Keep up the good work ...Thanks
450,Great video brotha! Thanks
451,Thank you for sharing Saturna with everyone
452,Cheers!
453,I am so rekt x(
454,Investing in SAT now is really cool
455,SAT to the moon!!
456,Keep up the good work see you on the moon
457,Good Saturna video!
458,thanks
459,Lets get it bro . Thats all i can say
460,Buying SAT
461,Perfect Saturna
462,Great Saturna content
463,Go SAT
464,"I am watching your videos daily, thats high quality info thanks man, keep going"
465,Informative as always! Keep it up!
466,2020 beat and worst year
467,Yeah
468,Keep up the awesome content!
469,how do I know alt season is here(asking to prepare for
470,3rd. Wow you guys are fast.
471,crypto
472,Nice episode
473,SAT going to moon
474,good morning world .
475,Great show!
476,Can you tell me how you think the bitcoin price is going to react if the bitcoin goes to the governments hands? What is going to be the real price? 2k/20k/200k Is it going to be more stabilized? And then the price is going to be connected with the dollar.
477,Great content.
478,Ready for the moon SAT
479,Bitcoin = Up and down as in life
480,Great Saturna video man lots of great information thank you so much
481,Thanks for the Saturna update
482,SAT FTW!!!
483,Can I ask a question?
484,Great Saturna updates
485,Tonight it will happen.
486,finally..it has to happen
487,SAT to the moon!!!
488,What color of lambo do you choose after bull run?
489,Your optimism backed by great is always appreciated.
490,u one of the best out here with real facts that u back up! Keep up the good analysis
491,"Hi from Sweden, love your vids alot of nice content, keep it up."
492,SAT is risky:)
493,Thanks for your content
494,Good Saturna video. Thanks for it
495,Cheers
496,Great job bro !
497,thank you so much for your videos every day love your vibe blessings
498,HODL bitcoin till Sept 2021
499,Great video
500,are you human?
501,ETH & SAT is going to the Moon
502,"great material as always. I accumulate a little every day, let the whales sell."
503,"SAT is the future, Investing in it now will be the wisest thing to do"
504,Fire
505,Thank you for the vid
506,buy buy buy the SAT
507,"Thank you kind sir, Saturna was interesting:)"
508,thnx 4 video
509,"always rock, no matter how late mate :D"
510,I am Long time holder but I have no money for buy the
511,another cool video
512,need it. The market needs. Its healthy. Its expected :)
513,In POLAND BITCOIN reaches ATH in POLISH ZŁOTY
514,it is highly probable Bitcoin will hit all time high by the end of this year.
515,Saturna will be very interesting
516,pumpage
517,SAT to the moon
518,I love all your videos dude..
519,Buy the SAT!
520,"Your videos are always good, sometimes great!"
521,I love your videos and I think your energy rubs off on me and makes me exited to the future
522,Only recently found your channel and I like it.  Subbed
523,Great content .. Lets moon SAT!!!
524,You the man
525,SAT we are goin to the moon
526,Buy the fkn dip
527,putin looks like stonks guy meme
528,Awesome!  Lets ROLL!
529,In SAT we believe
530,ass clown.
531,Very informative! Thanks.
532,nice vid
533,Good luck with channel
534,Great content
535,Another great video
536,Anyone else put into SAT after he recommended it?
537,HODL SAT
538,Buy the wows
539,Thanks for your hard work!!
540,Always on point with your analysis.
541,Thanks for the video! Healthy correction!
542,SAT please go to moon!
543,"5 views, 19 Likes -  wow"
544,Bullish
545,Great content!!!
546,thank you dude
547,wtb: $10k btc
548,hope all is well
549,Like always TOP!
550,great Saturna video!!!!!!!
551,You ROCK
552,Yes I needed that vid
553,Its hodl season lol
554,Awesome content bro
555,Watching bull fighting from the stands is like shorting
556,Great content as always!
557,Thank you for advising
558,love your videos!
559,"Buy SAT, buy SAT, buy SAT, and hodl SAT......"
560,Thanks for your insights and hardwork! SAT moooon!
561,Great Vid always informative
562,Man! Saturna is so crazy!
563,Yeeeeeeeeeeeet
